county,year,pop_m_0,pop_m_1,pop_m_5,pop_m_10,pop_m_15,pop_m_20,pop_m_25,pop_m_30,pop_m_35,pop_m_40,pop_m_45,pop_m_50,pop_m_55,pop_m_60,pop_m_65,pop_m_70,pop_m_75,pop_m_80,pop_m_85,pop_m_90,pop_f_0,pop_f_1,pop_f_5,pop_f_10,pop_f_15,pop_f_20,pop_f_25,pop_f_30,pop_f_35,pop_f_40,pop_f_45,pop_f_50,pop_f_55,pop_f_60,pop_f_65,pop_f_70,pop_f_75,pop_f_80,pop_f_85,pop_f_90,male_total,female_total,total_population,children_under_5,working_age,elderly_65plus,sex_ratio,dependency_ratio,child_dependency_ratio,elderly_dependency_ratio,pct_children,pct_elderly,county_area_km2
Bungoma,2021,28221.6666,110564.9600,154240.7138,157614.9614,134967.5729,84133.6178,61411.9723,58197.9959,48344.5171,40660.1614,34166.6472,27065.7574,23506.9008,16735.3910,9750.6725,6157.6600,3757.0010,2043.0921,1001.4197,578.5725,28254.9411,110777.2828,153468.9957,160612.5511,136316.0154,88630.1844,69934.9138,64884.9162,48760.1261,45388.3901,36923.6901,32906.5897,27812.1788,19619.6536,12415.5420,7577.3496,5747.3971,3697.4198,1694.8119,944.7959,1003121.2532,1056367.7453,2059488.9985,277818.8504,1100367.1920,55365.7341,94.9600,30.2800,25.2500,5.0300,13.4900,2.6900,3571.9436
Bungoma,2022,28565.7070,110601.3343,153527.3377,159594.4902,138762.4888,86990.5996,62386.4172,59021.8140,49901.8244,42214.2449,35335.7149,28116.3177,24650.7885,17626.1107,10322.9250,6197.9922,3931.2472,2058.3840,1014.8524,591.3323,28616.6733,110863.9504,152765.5147,162453.3061,139921.1771,91477.6128,71377.2565,66251.6097,50457.5087,47007.2549,38040.2943,34124.5980,29133.5113,20714.7512,13212.5522,7804.5141,5850.3166,3734.9155,1755.4159,981.0386,1021411.9232,1076543.7718,2097955.6950,278647.6650,1133511.8951,57455.4861,94.8800,29.6500,24.5800,5.0700,13.2800,2.7400,3571.9436
Bungoma,2023,28937.9336,111367.9380,153464.6697,160636.8915,143137.4619,90282.5999,63852.3309,59712.5556,51513.6711,43829.2528,36564.6494,29133.6740,25707.4671,18584.6433,10971.8513,6305.4414,4216.6149,2097.4914,979.2484,553.6832,28973.1718,111597.8285,152719.5803,163260.9190,143724.7135,94462.9871,73330.5230,67723.3229,52460.2199,48832.6110,39325.4934,35320.1874,30322.5500,21765.9440,14028.5769,8124.0859,5980.8086,3737.6764,1747.2164,945.5969,1041850.0695,1098384.0129,2140234.0823,280876.8719,1169586.8582,59688.2917,94.8500,29.1200,24.0200,5.1000,13.1200,2.7900,3571.9436
Bungoma,2024,29302.6125,112372.0744,153906.2104,160594.9049,147523.5604,93533.1229,65713.3559,60349.9050,53036.9236,45460.3304,37902.1489,30154.8675,26755.6106,19567.0703,11648.5782,6426.8501,4541.0917,2165.2703,949.4015,523.0356,29340.3225,112566.7759,153167.1845,163054.1716,147566.6288,97334.0952,75578.7067,69121.1108,54464.9532,50716.6060,40723.6088,36515.8232,31500.7118,22830.8814,14869.7961,8489.3122,6176.4244,3748.6136,1739.2498,920.4055,1062426.9252,1120425.3822,2182852.3074,283581.7853,1206350.0215,62198.0291,94.8200,28.6600,23.5100,5.1600,12.9900,2.8500,3571.9436
Bungoma,2025,29776.5551,113805.5367,154372.2041,160061.1929,151558.6326,96802.2901,67858.8953,61016.7724,54427.0703,47138.6782,39335.4515,31160.6323,27786.8516,20534.8849,12317.3554,6537.2101,4875.4771,2252.6132,919.5370,486.1289,29821.6717,113992.1468,153643.0086,162378.0308,151074.4660,100131.9307,78021.6284,70582.1760,56462.5153,52767.2425,42242.2604,37702.3815,32665.1455,23876.7567,15693.8300,8851.4511,6406.9957,3762.6635,1721.3137,885.7905,1083023.9697,1142683.4051,2225707.3748,287395.9102,1243146.6621,64710.3661,94.7800,28.3200,23.1200,5.2100,12.9100,2.9100,3571.9436
Busia,2021,12599.9413,49352.3233,66128.0463,70093.4313,61698.1113,39079.8935,27726.5850,26145.3908,22589.6226,18464.8616,14203.4488,12410.1953,10459.6413,7539.2861,4642.4457,3307.4312,1971.0461,1061.0382,541.4230,315.7659,12666.7988,49651.5214,67688.6338,72357.0957,64151.3897,42489.3210,33658.5624,30450.4282,22953.0307,20448.2366,16344.6788,16508.3130,13669.7113,10009.8808,6548.5417,4330.0857,3075.6703,1986.6364,1003.6395,604.9568,450329.9287,490597.1327,940927.0614,124270.5848,511000.5889,29388.6806,91.7900,30.0700,24.3200,5.7500,13.2100,3.1200,1798.7723
Busia,2022,12748.0719,49350.7556,65796.1604,70943.9917,63405.4341,40390.4536,28157.1583,26507.2881,23309.3477,19163.3301,14683.3630,12887.3787,10964.4358,7937.3150,4912.8184,3328.1882,2061.5837,1068.5161,548.4395,322.5954,12823.3589,49671.9631,67351.2101,73156.0772,65820.2328,43836.7999,34340.9724,31082.0764,23745.0483,21170.0879,16832.9298,17112.9450,14313.1733,10563.9542,6965.5394,4458.4331,3129.4622,2005.7538,1038.9119,627.8078,458486.6251,500046.7376,958533.3627,124594.1495,526223.7243,30468.0497,91.6900,29.4700,23.6800,5.7900,13.0000,3.1800,1798.7723
Busia,2023,12908.7597,49675.0166,65745.4650,71381.1169,65377.1092,41901.6936,28808.7658,26809.9032,24054.8253,19889.5377,15188.0884,13349.2873,11430.5907,8365.7752,5219.5607,3384.9458,2210.3318,1088.3579,529.0360,301.9586,12977.6354,49982.6482,67306.0509,73493.2341,67582.3146,45249.8137,35268.3484,31763.0747,24680.6987,21984.8896,17395.6567,17706.3602,14891.8766,11095.6894,7392.5117,4639.4559,3198.1797,2006.3541,1033.6338,604.9244,467620.1253,510253.3508,977873.4761,125544.0599,542794.2989,31609.2505,91.6400,28.9500,23.1300,5.8200,12.8400,3.2300,1798.7723
Busia,2024,13065.9943,50104.3693,65911.3737,71338.1914,67352.6150,43393.1079,29637.2691,27088.7082,24758.8964,20622.8731,15737.5722,13812.5542,11892.7551,8804.7618,5539.3414,3449.0885,2379.5390,1123.0446,512.7543,285.1512,13136.5704,50397.8401,67479.0580,73375.5197,69361.2924,46607.7714,36336.2427,32409.3428,25617.0971,22825.8501,18008.0139,18299.3206,15464.9611,11634.1252,7832.4756,4846.2584,3301.7765,2011.3584,1028.5024,588.6080,476809.9607,520561.9848,997371.9454,126704.7741,559665.1301,32897.8984,91.6000,28.5200,22.6400,5.8800,12.7000,3.3000,1798.7723
Busia,2025,13271.6645,50725.0361,66090.0538,71079.3150,69168.6178,44892.3836,30594.3193,27382.2062,25401.9165,21378.2261,16327.0878,14268.8657,12347.4729,9237.2058,5855.3124,3507.2670,2553.9750,1167.9116,496.5003,264.9740,13346.3370,51017.1894,67666.8431,73049.0677,70984.1082,47930.1246,37498.1285,33086.5815,26550.9422,23742.2057,18673.9427,18887.8578,16031.3675,12162.8597,8263.3222,5051.1347,3424.1788,2018.1685,1017.5333,566.3262,486010.3114,530968.2192,1016978.5305,128360.2269,576546.4201,34186.6040,91.5300,28.1900,22.2600,5.9300,12.6200,3.3600,1798.7723
